collection,location,Description
Roman Period,"30 BC
/
395 AD","After the commander Octavian (August) defeated Antony and Queen Cleopatra VII in 31 BC. in the  Battle of Actium,  Egypt lost its independence and became a Roman province ruled by the Roman Emperor, who was officially designated as Pharaoh and the country was divided into three regions, each of which was governed by a local governor, but all were under the authority of the emperor.
Rome exploited Egypt's resources economically. Some emperors paid much care for Egypt in particular, such as the Roman Emperor Hadrian who visited Egypt and founded a new Roman settlement called Antinopolis. The Romans also developed new technologies for the development of agriculture, where they built new water canals and dams, as well as increased grain cultivation and expanded wine production. All these agricultural reforms were principally aiming to remain the Province as ""the breadbasket in the ancient world"", no more.
Life in Egypt was influenced by the multiculturalism that was common during the Roman Kingdom; also a unique artistic style emerged as a result of blending of the Egyptian, Greek and Roman artistic influences. The Egyptian intellectual influence was appeared in the prevalence of Isis worship throughout the Roman Empire.
 In 285 AD, the Roman Empire split into the Eastern and Western Empires. The Roman Empire ended with the fall of Rome by the Berber attacks, while the Eastern Empire remained known as the Byzantine Empire in 330 AD."
Byzantine Era,"330 AD
/
641 AD","In the late Roman period, Egypt is known as the Byzantine Egypt or the Coptic period since the reign of the Roman Emperor Diocletian in 284 AD until the Arabs conquest of Egypt in 641 AD. The reign of Emperor Diocletian witnessed the most aggressive persecutions in the Roman history, especially against the Egyptian Christians. The Copts chose the year of Diocletian's ascension to the throne as the beginning of their calendar, which was called the calendar of martyrs.
The Egyptian Christians suffered persecution until the Edict of Milan's issuance in 313 AD in which Christianity was granted equal rights to other religions by Emperor Constantine I, who ruled the Western Roman Empire. In 324 AD Constantine I defeated Licinius, the ruler of the Eastern Roman Empire, and Constantine I became the only Emperor of the Roman Empire who transferred the headquarters to the new Capital Constantinople after its foundation in 330 AD."
Rashidun Caliphate,"632 AD
/
661 AD","The Rashidun Caliphate is so called after the first four leaders of the Islamic World, called caliphs—which literally means “successors”—following the death of the Prophet Muhammad. This was one of the most glorious of Islamic periods. Constant warfare between the Byzantine and Sassanian Empires had weakened them, and Muslim territories were expanded. Egypt was conquered (20 AH/641 AD) during the reign of Caliph ‘Umar ibn al-Khattab (13–23 AH/634–644 AD), taken over from the Byzantine Empire, which had itself only recently reconquered it from the Sassanian Persian Empire.
          The general leading the army that conquered Egypt was ‘Amr ibn al-‘As, who desired to continue having Alexandria as its capital. Caliph ‘Umar ibn al-Khattab refused, arguing for a capital that was closer to the the seat of the Caliphate, Medina. ‘Amr ibn al-‘As was appointed the governor of Egypt, and a new capital was founded: al-Fustat. Although the city by the name of Cairo would not be founded for another three hundred years, Egypt’s modern capital has its roots here."
The Umayyad Period,"661 AD
/
750 AD","The Ummayad Caliphate was founded by Mu’awiyya ibn Abi Sufyan. Umayyad rule continued for almost a century. The empire expanded widely, reaching Europe and the edges of Asia. The decline of the caliphate, however, took place during the reign of Hisham Ibn ‘Abd al-Malik. Damascus was the centre of rule, and Egypt was one of its subordinate territories. Amr ibn al-‘as was appointed the governor of Egypt for the second time by Mu’awiya ibn Abi Sufyan (38-43 AH), and he is considered the first ruler of Egypt during this period."
The Abbasid Period,"750 AD
/
1517 AD","‘AbdAllah al-Saffah ibn Muhammad (Abu al-‘Abbas al-Saffah) was the founder of the Abbasid state. He came to power following the Abbasid defeat of the Umayyads in 132 AH/ 750 AD. They ruled for eight centuries, to the extent that it was the Abbasids who represented political legitimacy for the Muslims. The Abbasid Empire was one of the largest, with Kufa in Iraq initially serving as the capital. Later, the caliph Abu Ja’far al-Mansur founded the city of Baghdad and moved the capital there"
The Tulunid dynasty,"868 AD
/
905 AD","The Tulunids established the first independent state in Egypt during the Abbasid period, during which Egypt was able to keep all of its wealth. Ahmad ibn Tulun, the founder of the dynasty, initiated many economic and cultural reforms. He started by establishing a new administrative center, called al-qata’I, where he built his mosque, currently known as the Ibn Tulun mosque. The Tulunids ruled for about thirty-five years, after which came the Ikhshids."
The Ikhshidid Period,"935 AD
/
969 AD","Muhammad ibn Tughj al-Ikhshid founded the Ikhshidid dynasty. The Abbasid Caliph al-Radi Billah granted him land and gave him the title “Ikhshid,” meaning “king” in the language of the Fergana Region, from which the kings of this dynasty originate. The Ikhshid rule continued in Egypt for about thirty-five years, and eventually, Muhammad ibn Tughj gained his independence from the Abbasid state. Egypt flourished culturally and economically due to Egypt’s political independence."
Fatimid dynasty,"912 AD
/
1171 AD","The Fatimid state was Egypt’s golden period in which Islamic art was consummate. Egyptian artists left behind many relics and monuments that attest to their great skill and meticulousness in various art forms. The Fatimids invaded Egypt in 358 AH/ 969 AD and subsequently founded a new city, Cairo, north of Al Fustat, making it their capital. Al-Azhar was the first mosque they established in Cairo.
 "
Ayyubid Dynasty,"1171 AD
/
1250 AD","The Ayyubid dynasty was founded by Salah Ad-Din Al-Ayyubi, who defeated and expelled the Fatimids in 567 AH/ 1174 A.D , and Egypt returned under the Abbasid Caliphate once more. Salah Ad-Din worked on spreading the Sunni doctrine instead of Shiism that was common in the Fatimid period. The Ayyubid dynasty was a military state as it appeared during the turbulent time of crusader attacks on Egypt and the Levant (Ash-sham). In light of this political context, Salah al-Din decided to build a citadel in Cairo, the construction of which began in 527 AH/ 1176 A.D. Its completion, however, did not take place during his lifetime, but later in 1208 A.D. In addition to this, Egypt’s rule extended to the Levant (Ash-sham) , the Hijaz, Yemen, Nubia, and parts of North Africa.  Ayyubid  Reign stayed in Egypt for 81 years and ended on the hands of the Mamelukes."
The Bahri Mamelukes,"1250 AD
/
1382 AD","The history of the Bahri Mamluks began with Sultan al-Saleh Najm al-Din Ayyub during his reign the use of the Mamelukes increased in the military, these troops built their own citadel in Rhoda Island in 638 A.H. They were called “Bahari” (deriving from “sea”) Mamelukes because they came to Egypt by sea routes. They were also known as “al-Salihiyiin”, linking them to the title of their ruler, Najm al-Din Ayyub. There were two-man families that encompassed the Mamluks. The first is that of al-Dhahir Baybars al-Bindiqari, who ruled Egypt for 17 years, and is considered the real founder of the dynasty who re-arranged government administration, restored Abbasid rule, and moved the capital to Cairo in 658 A.H. The second is the family of al-Manusr al-Qalawun, whose reign is considered one of the most prosperous periods in Egypt’s history. Many of the rulers who succeeded al-Mansur were young, and so were controlled by their regents. This continued until the reign of Sayf al-Din Barquq, the founder of the Circassian Mamelukes"
Circassian Mamluks (Burji),"1382 AD
/
1517 AD","The Circassian Mamluks founded their state in 784 AH/ 1382 AD by Sayf al-Din Barquq. Their roots return to the reign of al-Mansur Qalawun, who excessively used Circassian Mamluks in his military. This regiment was loyal to him and his decedents. Upon becoming military general, one of these Circassian Mamluks, Barquq, became the most important and powerful men of the state. His ascension to the throne marks the beginning of the Circassian Mamluk dynasty. They were also called the Burji (deriving from “tower) Mamluks, since they occupied the citadel and its towers. Egypt witnessed an architectural and artistic progress during the Mamluks time although it was an unstable period. The Circassian Mamluks ruled Egypt for about 135 years, with 23 alternating sultans. The defeat of Sultan Tuman Bey heralded the beginning of the Ottoman period."
The Ottoman Period,"1517 AD
/
1805 AD","The Ottoman reign in Egypt began when Sultan Selim I defeated the Mamluks Sultan Toman Bay at the Al-Raydanya in 1517 AD. Egypt became an Ottoman dependent state, and the Ottoman capital was founded in Constantinople. Ottoman rule continued in Egypt until the French invasion of Egypt (1798-1801 AD).The Ottoman reign for Egypt stayed till the coming of the French Campaign in Egypt in 1798 A.D till 1801 A.D, and then the Ottoman reign back again till 1805 A.D. There were no significant political developments in Egypt during this period, other than the constant rivalry between Ottoman and Mamluk rulers. 
 "
