monument,location,Description,start_from,end_at,tickets_price
Maq'ad of Mamay al-Sayfi,Al-Mu'izz Street,"It was established by Prince Mamay al-Sayfi in 901 AH/1496 AD; He is one of the Mamluk princes who lived through the rule of Sultan Qaitbay (872-901 AH/ 1467-1495 AD), and his son Al-Nasir Muhammad (901-903 AH / 1495-1497 AD). Mamay held the position of the gamadar , who was responsible for the sultan’s clothes, and then he assumed the position of cupbearer, as appeared in his special ranks or emblems  (the bukja rank and the cup rank) on the arches of the façade and the main entrance to his famous maq’ad (loggia). 
It was also known as the maq’ad of the judge's house, as the judge and the legal court took it as a headquarter in the Ottoman era. We can infer from architectural evidence that the  maq’ad was originally part of Prince Mamay's palace, but only the maq’ad remains, which grandeur and large size indicate the grandeur and breadth of the palace itself.  
Prince Mamay's  maq’ad has a distinctive architectural design, where the main entrance is flanked on the right side by a storehouse which is an opening with a pointed arch, and on the left side we find three similar storehouses, this part is surmounted by a raw of five  arches crowned by a wooden flap. The main entrance leads to a lobby leading to the main summer hall of the maq’ad, it is a rectangular hall with a beautiful wooden ceiling of wooden beams with gilded and colourful decorations, and below there is it a wooden frieze decorated with inscriptional motifs.
The maq’ad of Mamay al-Sayfi underwent its first restoration between 1901 and 1909 AD by the Committee for the Conservation of Arab Monuments, which aimed to repair the cielings and roof of the maq’ad. The Supreme Council of Antiquities also restored the maq’ad once again during the opening of the al-Mu‘izz Street monuments in 2010 AD. In 2018 AD, maintenance and restoration work for the maq’ad was completed within the framework of the national campaign launched by the Ministry of Antiquities in 2015 AD to save 100 archaeological buildings in historic Cairo.",Not Available,Not Available,Free
Mosque and Sabil-Kuttab of Shaykh Ali al-Mutahhar,Al-Mu'izz Street,"The location of this mosque had previously been the site of the Suyufiyya Madrasa established by Sultan Salah al-Din al-Ayyubi (Saladin). Prince Abd al-Rahman Katkhuda established this structure in 1157 AH / 1744 AD as a complex including mosque, sabil and kuttab. It was known as mosque of al-Mutahhar due to the mausoleum inside which attributed to Shaykh Ali al-Mutahhar.
The main façade of this structure overlooking al-Mu‘izz li-Din Allah Street and contains the main entrance. This façade is surmounted with an ottoman style minaret which crowned with conical top. The mosque consists of a rectangular prayer area divided into three riwaqs (arcades), the middle one is surmounted with shokhsikha (wooden dome) for lightening and ventilation. The mihrab (niche in the wall of a mosque marking the qibla, the direction of prayer) is decorated with marble mosaic. The wooden minbar (pulpit) is decorated with geometric decorations. The wooden wall lockers for books and the wooden tie beams between the columns are painted with botanical designs. On the western edge, there is a marble cenotaph of Abd al-Rahman Katkhuda’s mother. Next to it, a small funerary dome covers a wooden cenotaph that is attributed to Shaykh Ali al-Mutahhar.
Attached to the mosque are, a sabil (public drinking fountain) and a kuttab (school). The façade of this sabil is similar to that of the other sabil built by Abd al-Rahman Katkhuda at al-Mu‘izz li-Din Allah street.",Not Available,Not Available,Free
The towers Citadel of Salah al-Din Ayyubi,Cairo Citadel,"The Citadel of Sultan Salah al-Din Ayyub was constructed on a spur of the Muqattam mountain as a defence against any invasion. It is divided into two sections; northern enclosure, an area reserved for military activities. Salah al-Din commenced its construction in AH 572 / AD 1176 and work was continued by his brother and successor king al-Adil. The southern enclosure of the citadel, which had more ceremonial and residential functions was completed during the reign of Salah al-Din’s nephew, king al-Kamil. It consists of a cluster of buildings surrounded by walls that follow the irregular topography of the site with towers and doors. These massive walls and towers were constructed with limestone.
Most of the towers of the Citadel of Salah al-Din are situated in its northern enclosure. 18 tower some of which built during the reign of Salah al-Din are distinguishable by their semicircular shape, often enlarged in their diameter by al-Adil. Towers built entirely during the reign of al-Adil are rectilinear in plan. Within the towers are rooms on multiple levels that lead to perimeter embrasures for discharging arrows upon potential beseigers. Among these towers are al-Muqattam tower, Burg al-Suffa ('Alignment' Tower), Kirkilian tower, al-Turfa tower, Burg al-Muballat (‘Paved’ Tower), Burg al-Muqusar (‘Pavilion' Tower), Burg al-Ramla (‘Sand’ Tower), Burg al-Haddad (Blacksmith’s Tower), Burg al-Matar (‘Flight’ Tower used for pigeons), Burg al-Alwa (‘View’ Tower) and the Burg al-Sahra (‘Desert’ Tower). In addition, two towers named al-Imam flank the Bab al-Qarafa (Cemetery Gate).
Restorations and additions to the northern enclosure and its towers’ continued in later eras beginning with the Mamluk Sultanate, and ending in the reign of Muhammad Ali and his dynasty. Military use of the area continued during the British occupation of Egypt. By the 80th of the 20th century, that area was opened to the public and developed as an archaeological garden and venue for cultural events.
  Burg al-Haddad
The Burg al-Haddad (Blacksmith’s Tower) is one of the most famous towers of Salah al-Din’s citadel (AH 567-589 / AD 1171-1193) and stands adjacent to al-Ramla Tower (‘Sand’ Tower), whose design it superficially resembles. The tower is built of limestone with a diameter of 22 metres and a height of 21.70 metres. It was originally built in a semicircular shape which was changed to a round-fronted design by an addition made by the Sultan al-Adil (AH 596-615 / AD 1200-1218).
The tower has two floors and the original interior plan of Salah al-Din consisted of a central groin-vaulted space with three embrasures leading to arrow slits. These arrow slits were converted into doorways by Sultan al-Adil that led to a semi-circular curving corridor from which five further rectangular vaulted halls radiated to the exterior of the tower on both the ground and upper floors. The exterior walls have machicoulis -  projecting windows from which liquids such as burning oil could be thrown on attackers from above.
Burg al-Ramla
Burg al-Ramla (the ‘Sand Tower’) is a corner tower located at the junction of the eastern and northern sides of the citadel’s enclosure wall. Baha al-Din Qaraqush supervised its construction during the reign of Sultan Salah al-Din Ayyub (AH 567-589 / AD1171-1193).
  The tower is 20.80 metres high, and is built of limestone to a circular plan eighteen metres in diameter. It has two floors, each floor consisting of a central hall with three radiating vaulted chambers extending to the perimeter. Each chamber has a splayed narrow window embrasure through which weapons could be discharged.
  During the reign of Sultan al-Adil (AH 596-615 / AD1200-1218) the tower was expanded, and the window embrasures of each of the three radiating chambers were converted into door openings leading to rectangular vaulted rooms that ended in arrow slits. A corridor within the curtain wall of the enclosure connects the Burg al-Ramla with its immediate neighbour, the Burg al-Haddad (the ‘Blacksmith’s Tower’).",08:00 AM,04:00 PM,Free
The Pyramid of Meidum,Beni Suef,"The first king of the 4th Dynasty, Sneferu (c. 2613–2589 BC), chose Meidum as the site of his royal tomb. What we see today bears little resemblance to the original monument, which was a step pyramid that was then transformed into a true pyramid with smooth sides.
For this and several other reasons, Sneferu’s reign was a pivotal point of the Old Kingdom, and the site of Meidum is an integral part, representing the developments in pyramid-building know-how, technology, and techniques that would then lead to the building of some of Egypt’s most famous monuments.
At Meidum, Sneferu began building a seven-step pyramid that would have been 65 metres high. This was then enlarged, possibly before completion, into an eight-step pyramid. These two phases are called E1 and E2 by Egyptologists. In a completed state, the E2 pyramid would have been 85 metres high with a base length of 120.75 metres. It was at this point that Sneferu built the massive Bent and Red Pyramids at Dahshur. He then transformed the eight-step E2 pyramid into a true pyramid (E3) which stood between 92 and 95 metres high, with a base length of 144 metres.
Today, the pyramid has the appearance of a three-step structure emerging out of a massive mound of rubble and debris surrounding it. This tower is, in fact, most of the core of the pyramid. It was previously hypothesised that the rubble was the result of a sudden and catastrophic collapse that took place during the E3 construction phase. However, the debris consists of layers—strata—demonstrating that the erosion and destruction of the pyramid was, in fact, gradual.
According to earlier scholarship, the Meidum pyramid was constructed by Sneferu’s predecessor, the last king of the 3rd Dynasty, Huni (c. 2637–2613 BC). This is no longer the consensus. Sneferu’s name appears in texts in Meidum, and the ancient name of this site was Djed Sneferu ‘Sneferu Endures.’ During the reign of Thutmose III (c. 1479–1425 BC) in the 18th Dynasty, the scribe Ankhkheperreseneb visited Meidum and wrote an inscription, saying that he had come ‘to see the marvellous temple of Horus Sneferu. He saw it, as if heaven were in it and in it the sun rose.’
The Interior of the Pyramid
The entrance into the pyramid is in its north face, as was the standard, but it is unusually around 15 metres above the ground. A descending passage goes from the masonry of the pyramid down into the bedrock, turning into a horizontal corridor. Going past two niches, this leads to a vertical shaft that goes up to the burial chamber. Its corbelled ceiling distributed the tremendous weight of the masonry above, preventing it crushing the open spaces within the pyramid. It is for this same reason that the ancient Egyptians built corbelled weight-relieving spaces just above the two niches and the lower part of the descending passage. These were only discovered in 1998. It is here in Meidum that corbelling for a stone ceiling appears for the first time, a technique that would later be used to outstanding effect in the Grand Gallery and the burial chamber in Khufu’s tomb—the Great Pyramid.",08:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 150
Student: EGP 75

EGYPTIANS:
Adult: EGP 10
Student: EGP 5"
Muhammad Ali Palace in shubra,Cairo,"The Palace of Muhammad Ali Pasha (1220-1264 AH \ AD 1805-1848), founder of modern Egypt, is a rare masterpiece that brings together elements of nature, architecture and art. The palace combines elements of European aesthetics with Islamic architecture. Its construction began in 1223 AH / AD 1808, when Muhammad Ali decided to build Shubra Suburb, which was the northern promenade of Cairo. The palace was completed in 1237 AH / AD 1821, spanning a vast area of fifty acres across a suburb on the east bank of the Nile in Cairo. Today, this suburb is called Shubra al-Kheima and the Muhammad Ali Palace has become known as Paradise Palace or Shubra Palace.
The architectural plan of the palace was centred within a massive garden that included clusters of buildings surrounded by a wall. Initially, the palace consisted of the Saraya al-Ekama (Residential Palace), Saray al-fasqiyya (Fountain Palace) and saray al-gabalaya. It also included a bird tower, boat harbour, Hydraulic wheel (Saqqyia) that provided the palace and its garden with water, and stables known as the Shubra Stables.
The style employed in the palaces took on the character of 19th century Italian and French aesthetics. This was also the first building in Egypt to incorporate a modern lighting system, when Muhammad Ali Pasha commissioned the English engineer Galloway to install lighting fixtures in the palace.
The palace underwent extensive restoration and was reopened in 2005, after which it witnessed several important events, providing a wonderful location for receiving official delegations. After 2011 it remained closed, but given its historical and artistic value, the Ministry of Tourism and Antiquities, in cooperation with the Armed Forces Engineering Authority resumed restoration and development plans in 2018. The restoration work included floors and walls, raising the efficiency of the picturesque lake, restoring and maintaining inscriptions and decorations, in addition to linking the palace to the Nile pier for ease of movement for visitors",Not Available,Not Available,Free
New Kingdom Cemetery in Gebel Al-Silsila,Gebel al-Silsila,"In 2015, a joint archaeological mission of the Supreme Council of Antiquities and Lund University of Sweden began on the eastern side of Gebel al-Silsila. The project revealed a group of 78 tombs from the New Kingdom (c. 1550–1069 BC) belonging to men, women, and children. Their genders and ages suggest that a settlement existed in the location of Gebel al-Silsila, rather than a temporary housing site for quarry workers as previously thought.
These simple tombs are undecorated rock-cut chambers that contained vessels, beer jars, faience beads and scarab amulets, bronze bracelets, and animal bones. The tombs were covered by the accumulation of sand over centuries and their state of preservation is poor due to heavy erosion and the rising water table. The excavation, preservation, and study of these tombs and their contents is important for our understanding of this unique site.",07:00 AM,04:00 PM,Free
Nile Stelae,Gebel al-Silsila,"Many kings of the 19th Dynasty carved and dedicated stelae into the cliff-face at Gebel al-Silsila. It was at this narrow stretch of the Nile that the swelling of the river during the inundation was most apparent and was therefore considered a sacred location. These so-called ‘Nile Stelae’ commemorate offerings that were made to Hapy, god of the annual inundation of the Nile.
The 19th Dynasty tradition of carving Nile stelae at this spot began with Sety I (c. 1294–1279 BC). His son Rameses II (c. 1279–1213 BC) followed in his footsteps, and he, in turn, was followed by his own son Merenptah (c. 1213–1203 BC). Later, Rameses III (c. 1184–1153 BC) of the 20th Dynasty added his own stela.
The texts record how these kings ask the god Hapy to provide a good and safe flood for Egypt that will bring a plentiful supply of fish and birds. Agriculture in ancient Egypt was only possible thanks to the fertile soil deposited during the flood, and the kings acknowledge how the inundation, addressed in the form of the god Hapy, brings life to the Egyptian people.",07:00 AM,04:00 PM,Free
Royal Stelae,Gebel al-Silsila,"Three royal stelae are located on a high rock facing east, toward the river Nile. The most northerly stela, dedicated by King Rameses V (c. 1147–1143 BC), is decorated with a scene showing the king presenting his Throne Name to the god Amun-Ra, his wife Mut, their son Khonsu, and the crocodile god Sobek. The inscription below mentions the most important works of this king, framed by his many titles.
The second stela was dedicated by the 22nd Dynasty king Sheshonq I (c. 945–924 BC). The goddess Mut leads the king to the gods Amun-Ra (her husband), Ra-Horakhty, and Ptah. Below, the hieroglyphic inscription indicates that the king opened this part of the Gebel al-Silsila quarries. The kneeling figure of the Overseer of Works of the Temple of Seshonq I in Thebes, can be seen at the base of this stela.
The third royal stela was made by King Rameses III (c.1184 –1153 BC) of the 20th Dynasty. It depicts the king presenting a figure of Maat, the goddess of order and justice, to the Theban triad consisting of Amun-Ra, Mut, and Khonsu.",07:00 AM,04:00 PM,Free
Speos of Horemheb,Gebel al-Silsila,"The Speos of Horemheb is a temple built in a cave, probably an old quarrying gallery, during the reign of Horemheb (c. 1323–1295 BC), the last king of the 18th Dynasty. The temple has five openings cut into the cliff that are separated by pillars.
The middle opening served as an entrance, with the royal names of Horemheb engraved around it. The entrance leads to a hall that opens onto the sanctuary, which contains seated rock-cut statues of the temple’s seven gods: the crocodile god Sobek (Gebel al-Silsila’s local deity), the protective goddess Taweret, King Horemheb himself, the ibis-headed Thoth, and in the centre, the triad of Thebes consisting of Amun-Ra, his wife Mut, and their son Khonsu.
Taweret can be seen suckling Horemheb on the west wall, and a fascinating scene near it, on the west wall, depicts Horemheb’s triumphal procession after his victory in Nubia.
Ramesside kings and high-ranking officials later added scenes, stelae, and inscriptions to mark their visit to this sacred site, indicating that it functioned as more than a quarry throughout the New Kingdom. We know that the temple was later used as a Christian place of worship because of the crosses that were carved onto its walls.",07:00 AM,04:00 PM,Free
The Monastery of Anba Simeon in Aswan,Aswan,"The Monastery (Dayr) of Anba (Saint) Hadra is named after a local saint (Coptic: ⲁⲡⲁ ϩⲁⲧⲣⲉ / Apa Hatre) who lived in the late of the 4th and the beginning of the 5th century AD—first as a monk, and finally as the Bishop of Syene (Aswan). Every year on the 21st of December (the 12th of Kiahk in the Coptic calendar), a religious festival is held at the site on the anniversary of Anba Hadra’s death. Although it is known as the Monastery of Saint Simeon, the identity of this saint and his association with the monastery remain unknown.
The site is exceptional among historic monasteries in Egypt for the good state of preservation of its original structures built of stone and mud brick. Although the buildings slowly decayed after their gradual abandonment, the remaining architecture still gives a good idea of what a coenobitic monastery in Upper Egypt during the medieval era looked like. The evidence attests to religious activity here from the 6th to the beginning of 14th centuries.
A high enclosure wall surrounding the monastery with two gates endows the monastery. The monastery extends over two levels—a lower and an upper terrace—divided by a rocky escarpment. On the lower terrace there is a church as well as a series of small cave-like spaces that were later used as a part of the monastery. The most prominent of these is the grotto that is attributed to Anba Hadra. The upper terrace is dominated by a two-storey residential building with communal cells characteristic of a coenobitic monastery, a refectory, areas for food storage, oil presses, and ovens and an extensive workshop area which allowed the monks to maintain their livelihood within the confines of the monastery.
The church and the grotto are notable for the remains of the colourful wall paintings that still decorate some of their walls and ceilings. Some of the monks’ cells on the upper level, along with parts of the church walls, are notable for the Coptic and Arabic graffiti left by visitors and the monks of the monastery.
to download A Guide to Aswan click here!
 ",07:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 150 / Student: EGP 50
EGYPTIANS:
Adult: EGP 10 / Student: EGP 5"
