hotel_ar,hotel_en,governorate,city,rating
جولدن صن,Golden Sun,البحر الأحمر,الغردقة,
رنادو مكادى باى,Xanadu Makadi Bay Hotel,البحر الأحمر,الغردقة,
ذابوتيك هوتيل,THE BOUTIQUE HOTEL,البحر الأحمر,الغردقة,
صن رايز توكانا مكادى باى,Sunrise Tucana Makadi Bay,البحر الأحمر,الغردقة,
بالم إن,PALM INN HOTEL,البحر الأحمر,الغردقة,
الجولف,GOLF HOTEL,البحر الأحمر,الغردقة,
كريك,Creek Hotel,البحر الأحمر,الجونة,
سي صن,SEA SUN,جنوب سيناء,دهب,
ريجينا السخنة,REGINA EL SOKHNA HOTEL,السويس,العين السخنة,
امباير اوتيل,EMPIRE HOTEL,السويس,العين السخنة,
العين باى,EL EIN BAY HOTEL,السويس,العين السخنة,
هاوس أوف لايف,HOUSE OF LIFE HOTEL,سوهاج,سوهاج,
الفنار,EL FANAR HOTEL,سوهاج,سوهاج,
الفنار,EL FANAR HOTEL,سوهاج,سوهاج,
طغاغين,TAGHAGHIEN ISLAND HOTEL,,سيوه,
بورتو سعيد,PORTO SAID HOTEL,بورسعيد,بورسعيد,
هلنان بور فؤاد,HELNAN PORT FOUAD HOTEL,بورسعيد,بورسعيد,
بورسعيد جراند اوتيل,GRAND PORT SAID HOTEL,بورسعيد,بورسعيد,
هولى فاميلى,Holy Family,المنيا,المنيا,
حورس,HORUS TOURIST HOTEL,المنيا,المنيا,
جرين ليفز,GREEN LEAVES,,الساحل الشمالى,
جاز الماظينو,JAZ ALMAZINO,,الساحل الشمالى,
مارينا1,Marina 1,,الساحل الشمالى,
مارينا 2,Marina 2,,الساحل الشمالى,
بلانكا,Blanca,,الساحل الشمالى,
فيردى,Verdi,,الساحل الشمالى,
الفرسان,ALFORSAN,,مرسي مطروح,
ادريس مراسى بيتش ريزورت H9,H9 - The ADRESS MARASI BEACH RESORT,,الساحل الشمالى,
كليوباتراللمنتجعات الفاخرة,CLEOPATRA LUXURY HOTEL,,الساحل الشمالى,
بورتو مطروح,PORTO MATROUH HOTEL,,مرسي مطروح,
موتيل المنصورة,MOTEL El MANSOURA,الدقهلية,المنصورة,
انجلو,ANGLO,الأقصر,الأقصر,
ليالى العرب,ARABIAN NIGHTS,الفيوم,الفيوم,
جراند بسترودس بالاس,GRAND PASTROUDIS PALACE HOTEL,الفيوم,الفيوم,
بيوم ليك سايد,BYOUM LAKESIDE HOTEL,الفيوم,الفيوم,
شندا لودج,SHANDA LODGE,الوادي الجديد,الوادى الجديد,
شهر زاد كامب,SHAHRAZAD CAMP,الوادي الجديد,الوادى الجديد,
قصر البجوات,QASR EL BAGAWAT HOTEL,الوادي الجديد,الوادى الجديد,
العاملين بمصنع الطائرات,Aircraft factory workers,دمياط,راس البر,
المينا بيتش,EL MENA BEACH HOTEL,دمياط,راس البر,
الوادى,ALWADY HOTEL,دمياط,راس البر,
الايفان,EVAN HOTEL,القليوبية,بنها,
ميراج سموحة,Mirage SMOUHA,الأسكندرية,الاسكندرية,
جراند بلازا سموحة,THE GRAND PLAZA HOTEL,الأسكندرية,الاسكندرية,
تشيرى ماريسكى,CHERRY MARYSKI HOTEL,الأسكندرية,الاسكندرية,
زا زين ويلنس ريزورت,the zen wellness resort,أسوان,أسوان,
مارينا اكوا بارك,Marina Aqua Park,أسوان,أسوان,
سونستا النوبة,SONESTA NOUBA HOTEL,أسوان,أسوان,
سبكترا ان,SPECTRA INN,الجيزة,الجيزة,
ازل بيراميدز هوتيل,Azal PYRAMIDS HOTEL,الجيزة,الجيزة,
ريجنسى,REGENCY HOTEL,الجيزة,الجيزة,
رويال داى بلازا,ROYAL DAY PLAZA HOTEL,الجيزة,الجيزة,
السرايا,AL SARAYA OCT. HOTEL,الجيزة,الجيزة,
نيو ستار,NEW STAR HOTEL,القاهرة,القاهرة,
سانت ريجس الماسة,The St. Regis Almasa Hotel,القاهرة,القاهرة,
ريفر سايد,RIVER SIDE HOTEL,القاهرة,القاهرة,
بوتيك 1920,NINETEEN TWENTY'S Boutique Hotel,القاهرة,القاهرة,
هيلنان لاند مارك,HELNAN LANDMARK HOTEL,القاهرة,القاهرة,
كوزمو بوليتيان,COSMOPOLITAN HOTEL,القاهرة,القاهرة,
جرين ديزرت,GREEN DESERT HOTEL,البحيرة,البحيرة,
ديـلـمــــــــــون,DELMON HOTEL,جنوب سيناء,طور سيناء,
صلاح الدين,SALAH EDDIN TABA HOTEL,جنوب سيناء,طابا,
كلـــوب طابـــــا,CLUB TABA HOTEL,جنوب سيناء,طابا,
طابا ساندز,TABA SANDS HOTEL,جنوب سيناء,طابا,
طوبـيــــــــــا آن,TOBYA INN HOTEL,جنوب سيناء,طابا,
استراند,STRAND RESORT,جنوب سيناء,طابا,
نلســـــــــــون طابا,NELSON TABA VILLAGE,جنوب سيناء,طابا,
مرجــانه طابـــــا,MORGANA TABA RESORT,جنوب سيناء,طابا,
هوليداى طابا,HOLIDAY TABA RESORT,البحر الأحمر,نويبع,
الـوكــــــــــــالـة,EL WEKALA RESORT,جنوب سيناء,طابا,
شتايجنبرجر طابا,STEIGENBERGER TABA RESORT,جنوب سيناء,طابا,
راديسون ساس,TABA PARADISE RESORT ( Radisson sas ),جنوب سيناء,طابا,
موفنبيك طابا,MOVENPICK RESORT TABA,جنوب سيناء,طابا,
موازييك بيتش ريزورت طابا,Mosaique Beach Resort Taba,جنوب سيناء,طابا,
ميرامار,MIRAMAR HOTEL ( Hyatt Regency),جنوب سيناء,طابا,
باى فيو,BAY VIEW HOTEL,جنوب سيناء,طابا,
مورجن لاند,MORGEN LAND VILLAGE,جنوب سيناء,سانت كاترين,
الوادي المقدس,EL WADY EL MOUQUDUSS HOTEL,جنوب سيناء,سانت كاترين,
دانيلا سانت كاترين,DANIELA VILLAGE,جنوب سيناء,سانت كاترين,
كاترين بلازا,CATHERINE PLAZA VILLAGE,جنوب سيناء,سانت كاترين,
سانت كاترين,ST. CATHERINE HOTEL,جنوب سيناء,سانت كاترين,
فايكنج كلوب,VIKING CLUB HOTEL,جنوب سيناء,شرم الشيخ,
اوشن كلوب,OCEAN CLUB HOTEL,جنوب سيناء,شرم الشيخ,
لونـا شــارم,LUNA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
لوجـيـنــــــــا ريزورت,LOGINA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
هـــــالومـى,HALOMY SHARM HOTEL,جنوب سيناء,شرم الشيخ,
غـزالة,GHAZALA HOTEL,جنوب سيناء,شرم الشيخ,
بدويــــــــة,BADAWIA SHARM RESORT,جنوب سيناء,شرم الشيخ,
قمر ســــيناء,AMAR SINA HOTEL,جنوب سيناء,شرم الشيخ,
عـايــدة,AIDA SHARM,جنوب سيناء,شرم الشيخ,
عــــــايـدة 2,AIDA 2 RESORT,جنوب سيناء,شرم الشيخ,
صنافير,SANAFIR HOTEL,جنوب سيناء,شرم الشيخ,
أونـــــــاس,OONAS HOTEL,جنوب سيناء,شرم الشيخ,
ديزرت فــيو,DESERT VIEW HOTEL,جنوب سيناء,شرم الشيخ,
يـونـــى شــــــارم,UNI SHARM HOTEL,جنوب سيناء,شرم الشيخ,
تيفولى,TIVOLI HOTEL,جنوب سيناء,شرم الشيخ,
شارمينج ان ان,SHARMING INN HOTEL,جنوب سيناء,شرم الشيخ,
شـــارم ريـف,SHARM REEF HOTEL,جنوب سيناء,شرم الشيخ,
شــارم هوليداى,SHARM HOLIDAY HOTEL,جنوب سيناء,شرم الشيخ,
شــارم كلـيف,SHARM CLIFF RESORT,جنوب سيناء,شرم الشيخ,
شــارم برايــــد,SHARM BRIDE HOTEL,جنوب سيناء,شرم الشيخ,
رويـال برادايـس,ROYAL PARADISE HOTEL,جنوب سيناء,شرم الشيخ,
كويـن شـــــارم,QUEEN SHARM HOTEL,جنوب سيناء,شرم الشيخ,
نـيــــو تـــــــــاور,NEW TOWER HOTEL,جنوب سيناء,شرم الشيخ,
نيـو تيــران,NEW TIRAN HOTEL,جنوب سيناء,شرم الشيخ,
نيو كوين شارم,NEW QUEEN SHARM,جنوب سيناء,شرم الشيخ,
نيــو فانتازيـا,NEW FANTAZIA HOTEL,جنوب سيناء,شرم الشيخ,
نعمــة هايتس,NEAMA HEIGHTS HOTEL,جنوب سيناء,شرم الشيخ,
مـــوران,MORAN HOTEL (Noria),جنوب سيناء,شرم الشيخ,
ماكســـيكانا,MEXICANA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
مزار ريزورت اند سبا,MAZAR Resort & Spa,جنوب سيناء,شرم الشيخ,
ليالينا السياحية,LAYALINA RESORT,جنوب سيناء,شرم الشيخ,
لا بـيــــــرلا,LA PERLA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
كهرمــــانـة,KAHRAMANA HOTEL,جنوب سيناء,شرم الشيخ,
جراند شارم ريزورت 2,GRAND SHARM RESORT,جنوب سيناء,شرم الشيخ,
جـــراند أوتيــل,GRAND HOTEL,جنوب سيناء,شرم الشيخ,
غــزالة جاردن,GHAZALA GARDENS HOTEL,جنوب سيناء,شرم الشيخ,
جاردينيا شارم,GARDENIA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
منتجع الحــــياة شـــــرم,EL HAYAT SHARM HOTEL,جنوب سيناء,شرم الشيخ,
دايف ان ريزورت,DIVE INN HOTEL,جنوب سيناء,شرم الشيخ,
سيرين ايلاند هوتيل,CYRENE ISLAND HOTEL,جنوب سيناء,شرم الشيخ,
كـورال هيلز,CORAL HILLS RESORT,جنوب سيناء,شرم الشيخ,
كورال بيتش تيــران,CORAL BEACH TIRAN HOTEL,جنوب سيناء,شرم الشيخ,
كتراكت ريزورت,CATARACT HOTEL,جنوب سيناء,شرم الشيخ,
البـســـــــتـان بارك هوتيلز,AL BOSTAN PARK HOTEL,جنوب سيناء,شرم الشيخ,
فيفا شارم,VIVA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
فرجينيا شـــارم,VERGINIA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
تركواز بيتـش ريزورت,TURQUOISE BEACH HOTEL,جنوب سيناء,شرم الشيخ,
شـــارم آن قمرين,SHARM INN AMAREIN HOTEL,جنوب سيناء,شرم الشيخ,
شــــارم كلـــــوب,SHARM CLUB HOTEL,جنوب سيناء,شرم الشيخ,
بالما دى شارم,PALMA DE SHARM HOTEL,جنوب سيناء,شرم الشيخ,
أورينتال ريفولى بلازا,ORIENTAL RIVOLI PLAZA HOTEL,جنوب سيناء,شرم الشيخ,
إورينتال ريفولى,ORIENTAL RIVOLI HOTEL,جنوب سيناء,شرم الشيخ,
نعمة آن,NEAMA INN HOTEL,جنوب سيناء,شرم الشيخ,
نعمة بلو,NEAMA BLUE,جنوب سيناء,شرم الشيخ,
نعمة ستار,NAAMA STAR HOTEL,جنوب سيناء,شرم الشيخ,
نعمة هيلز,NAAMA HILLS HOTEL,جنوب سيناء,شرم الشيخ,
فالكون هيلز,FALCON HILLS HOTEL,جنوب سيناء,شرم الشيخ,
إيـــــدن روك,EDEN ROCK HOTEL,جنوب سيناء,شرم الشيخ,
كــمــــــــــل,CAMEL HOTEL,جنوب سيناء,شرم الشيخ,
قمـــر الزمــــان,AMAR EL ZAMAN HOTEL,جنوب سيناء,شرم الشيخ,
راداميس تيرانا ريكسوس,Radamees Tirana Aqua Park,جنوب سيناء,شرم الشيخ,
سـونستا كلوب,SONESTA CLUB SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
شارم بلازا,SHARM PLAZA RESORT,جنوب سيناء,شرم الشيخ,
سافيتا ريزورت اند سبا,SAVITA RESORT & SPA,جنوب سيناء,شرم الشيخ,
ريحانه شارم نبق,REHANA SHARM RESORT,جنوب سيناء,شرم الشيخ,
ريحــانة رويال بيتــش ريزورت,REHANA ROYAL BEACH HOTEL,جنوب سيناء,شرم الشيخ,
ريجنـــسى بـلازا,REGENCY PLAZA RESORT,جنوب سيناء,شرم الشيخ,
باروتيل بيتش ريزورت,PARROTEL BEACH Resort,جنوب سيناء,شرم الشيخ,
باروتيل اكوا بارك ريزورت,PARROTEL AQUA PARK Resort,جنوب سيناء,شرم الشيخ,
اورينتـــال ريـزورت,ORIENTAL RESORT,جنوب سيناء,شرم الشيخ,
مكسيم جاردن,MAXIM GARDEN RESORT,جنوب سيناء,شرم الشيخ,
ليدو شارم,LIDO SHARM HOTEL,جنوب سيناء,شرم الشيخ,
كينج سنفرو الفراعنة ريف,KING SNEFRO EL FARAANA REEF,جنوب سيناء,شرم الشيخ,
هيلتون شاركس باى,HILTON SHARKS BAY RESORT,جنوب سيناء,شرم الشيخ,
جراند اوازيس,GRAND OASIS RESORT,جنوب سيناء,شرم الشيخ,
جافى لأند,GAFY LAND HOTEL,جنوب سيناء,شرم الشيخ,
دريمـز فاكيشــن,DREAMS VACATION HOTEL,جنوب سيناء,شرم الشيخ,
سيرين شارم هوتيل,CYRENE SHARM RESORT,جنوب سيناء,شرم الشيخ,
كورال بيتش المنتزة,Coral Beach Montazah Hotel,جنوب سيناء,شرم الشيخ,
كونتيننتال بلازا بيتش,CONTINENTAL PLAZA BEACH HOTEL,جنوب سيناء,شرم الشيخ,
ســيتى ســتارز,CITY STAR RESORT,جنوب سيناء,شرم الشيخ,
أمواج عيون شارم,AMWAJ OYOUN HOTEL,جنوب سيناء,شرم الشيخ,
امفوراس بلو,AMPHORAS BLU,جنوب سيناء,شرم الشيخ,
امفوراس اكوا,AMPHORAS AQUA HOTEL,جنوب سيناء,شرم الشيخ,
تيران نبق,TIRAN Nabq RESORT,جنوب سيناء,شرم الشيخ,
صن رايز رمال بيتش,SUNRISE REMAL BEACH,جنوب سيناء,شرم الشيخ,
اكسبرينس سـان جـورج,ST.GEORGE XPERIENCE RESORT,جنوب سيناء,شرم الشيخ,
شرم دريمز ريزورت,SHARM DREAMS RESORT,جنوب سيناء,شرم الشيخ,
أولد فيك شارم,OLD VICK HOTEL,جنوب سيناء,شرم الشيخ,
ماجــيك وورلد,Magic World Sharm Resort,جنوب سيناء,شرم الشيخ,
جاز شاركس باى,JAZ SHARKS BAY,جنوب سيناء,شرم الشيخ,
جاز فنارة ريزورت,JAZ FANARA RESORT,جنوب سيناء,شرم الشيخ,
ابروتيل فناره ريزيدنس,Iberotel Fanara Residence Resort,جنوب سيناء,شرم الشيخ,
الفـيروز,FAYROUZ RESORT,جنوب سيناء,شرم الشيخ,
البركة سيتى شــارم,El Baraka Seti Sharm Resort,جنوب سيناء,شرم الشيخ,
كـلــــــوب ريــف,CLUB REEF RESORT,جنوب سيناء,شرم الشيخ,
شارمليون كلوب ريزورت,CHARMILLION CLUB RESORT,جنوب سيناء,شرم الشيخ,
الميركــاتـــو,IL MERCATO HOTEL,جنوب سيناء,شرم الشيخ,
اكسبرينس سى بريز,XPERIENCE SEA BREEZE RESORT,جنوب سيناء,شرم الشيخ,
الشلالات,WATERFALLS RESORT,جنوب سيناء,شرم الشيخ,
تمرا بيتش,TAMRA BEACH RESORT,جنوب سيناء,شرم الشيخ,
حدائق السلطان,SULTAN GARDENS RESORT,جنوب سيناء,شرم الشيخ,
شارم جراند بلازا,SHARM GRAND PLAZA RESORT,جنوب سيناء,شرم الشيخ,
سى بيتش,SEA BEACH HOTEL,جنوب سيناء,شرم الشيخ,
ســـــــــــافـــوى,SAVOY SHARM EL SHEIKH RESORT,جنوب سيناء,شرم الشيخ,
رويال هوليداى بيتش ريزورت اند كازينو,ROYAL HOLIDAY BEACH RESORT & CASINO,جنوب سيناء,شرم الشيخ,
رويــال جراند شـارم,ROYAL GRAND SHARM,جنوب سيناء,شرم الشيخ,
ريف اوازيس بلو باى,REEF OASIS BLU BAY HOTEL,جنوب سيناء,شرم الشيخ,
بـيـرامـــــــيـزا,PYRAMISA SHARM EL SHEIKH RESORT,جنوب سيناء,شرم الشيخ,
بروميناد خليج نعمة,PROMENADE NEAMA BAY (scarros),جنوب سيناء,شرم الشيخ,
بارك ريجنـسى,Park Regency Resort,جنوب سيناء,شرم الشيخ,
القرية النوبـية,NUBIAN VILLAGE,جنوب سيناء,شرم الشيخ,
نوفـــــــتـيــل,Novotel Sharm El Sheikh Resort,جنوب سيناء,شرم الشيخ,
نعمة باى,Naama Bay (tropital naama bay),جنوب سيناء,شرم الشيخ,
موفنبيك ريزورت,MOVENPICK SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
فيلات واجنحة ريكسوس جولف شرم الشيخ,Rixos Golf Villas & Suites Sharm El Sheikh,جنوب سيناء,شرم الشيخ,
مارتيم جولى فيل ريزورت اند كازينو,MARITIM JOLIE VILLE RESORT & CASINO,جنوب سيناء,شرم الشيخ,
جولف بيتش ريزورت,GOLF BEACH RESORT,جنوب سيناء,شرم الشيخ,
مارينا شارم,MARINA SHARM HOTEL,جنوب سيناء,شرم الشيخ,
كـيروســــــيز,KIROSEIZ RESORT,جنوب سيناء,شرم الشيخ,
ايلاند فيو,ISLAND VIEW RESORT,جنوب سيناء,شرم الشيخ,
ابروتيل بالاس,IBEROTEL PALACE SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
هليتون شاركس باى 2,HILTON SHARKS BAY RESORT II,جنوب سيناء,شرم الشيخ,
وسبا جراند روتانا,GRAND ROTANA HOTEL & SPA,جنوب سيناء,شرم الشيخ,
دريمــز بيتـــش,DREAMS BEACH RESORT,جنوب سيناء,شرم الشيخ,
كورال سى ووتر ورلد,CORAL SEA WATERWORLD,جنوب سيناء,شرم الشيخ,
كـــــورال بـــــاى,CORAL BAY HOTEL & RESORT,جنوب سيناء,شرم الشيخ,
كونتننتال جاردن ريف,Continental Garden Reef Resort,جنوب سيناء,شرم الشيخ,
كونكـــورد الســـلام,Concord El Salam Sharm Resort,جنوب سيناء,شرم الشيخ,
الــبــــــــــــارون,BARON RESORT SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
البــــــارون بالمـــــز,BARON PALMS RESORT,جنوب سيناء,شرم الشيخ,
أربيان بيتش,ARABIAN BEACH RESORT,جنوب سيناء,شرم الشيخ,
أمفـــوراس,AMPHORAS HOTEL,جنوب سيناء,شرم الشيخ,
الباشا كوست (ادارة  شيراتون اوفرسيز ),AL PASHA COAST- SHERATON MANAGEMENT,جنوب سيناء,شرم الشيخ,
صن رايز رمال ريزورت,SUNRISE REMAL RESORT,جنوب سيناء,شرم الشيخ,
صن رايز منتمارى,SUNRISE MONTEMARE RESORT(Sharming Hills),جنوب سيناء,شرم الشيخ,
ســـتيلا شــرم,STELLA SHARM RESORT,جنوب سيناء,شرم الشيخ,
رويال الباتروس مودرنا,ROYAL EL BATROS MODERNA RESORT,جنوب سيناء,شرم الشيخ,
رينسانس جولدن فيو بيتـــش ريزورت,RENAISSANCE GOLDEN VIEW RESORT,جنوب سيناء,شرم الشيخ,
ريــف اوازيــس,REEF OASIS RESORT,جنوب سيناء,شرم الشيخ,
باروتيل لاجون,PARROTEL LAGOON,جنوب سيناء,شرم الشيخ,
مونت كارلو,MONTE CARLO RESORT,جنوب سيناء,شرم الشيخ,
جاز مرابيل بيتش,JAZ MIRABEL BEACH RESORT,جنوب سيناء,شرم الشيخ,
جــاز بليفــــــادير,JAZ BELVEDERE RESORT,جنوب سيناء,شرم الشيخ,
كورال سى إمبريال,CORAL SEA IMPRIAL RESORT,جنوب سيناء,شرم الشيخ,
كورال سى هوليداى ريزورت,CORAL SEA HOLIDAY RESORT,جنوب سيناء,شرم الشيخ,
كليوباترا للمنتجعات الفاخرة,CLEOPATRA LUXURY RESORT,جنوب سيناء,شرم الشيخ,
اكوا بلو,AQUA BLUE RESORT (Aqua Park),جنوب سيناء,شرم الشيخ,
الباتروس اكوا بارك,ALBATROS AQUA PARK SHARM,جنوب سيناء,شرم الشيخ,
شتايجنبرجر الكزار,STEIGENBERGER ALCAZAR,جنوب سيناء,شرم الشيخ,
ريـكسـوس شرم الشيخ,RIXOS SHARM EL SHEIKH HOTEL,جنوب سيناء,شرم الشيخ,
ريكسوس بريميوم سى جت,RIXOS PREMIUM SEAGATE,جنوب سيناء,شرم الشيخ,
لاجونا فيـســــــــتا ريزورت,LAGUNA VISTA RESORT,جنوب سيناء,شرم الشيخ,
فـــور ســــــيزون,FOUR SEASONS RESORT SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
دايمــوند شـــارم,DIAMOND SHARM HOTEL,جنوب سيناء,شرم الشيخ,
الباتروس بالاس ريزورت,ALBATROS PALACE HOTEL (Cyrene Grand),جنوب سيناء,شرم الشيخ,
صن رايز وايت هيلز,SUNRISE WHITE HILLS HOTEL,جنوب سيناء,شرم الشيخ,
ميراكى شرم الشيخ,Meracy Sharm Elshekh,جنوب سيناء,شرم الشيخ,
الباتروس شرم الشيخ,ALBATROS SHARM EL SHEIKH,جنوب سيناء,شرم الشيخ,
توبيا,TOUBIA HOTEL,البحر الأحمر,سفاجا,
كورال جاردن,CORAL GARDEN REOSRT,البحر الأحمر,سفاجا,
نيمو,NEMO HOTEL,البحر الأحمر,سفاجا,
الجوهرة,EL GAWHARA HOTEL,البحر الأحمر,سفاجا,
شاطئ الشمس,SUN BEACH VILLAGE,البحر الأحمر,سفاجا,
ناقة باى ريزورت,NAGA BAY RESORT,البحر الأحمر,سفاجا,
دولفين بيتش هوتيل,DOLPHIN BEACH HOTEL,البحر الأحمر,سفاجا,
فيفا بلو - الاحلام,VIVA BLUE HOTEL ( Dreams Village ),البحر الأحمر,سفاجا,
شمس سفاجا,SHAMS SAFAGA VILLAGE,البحر الأحمر,سفاجا,
جنة سفاجا,SAFAGA PARADISE,البحر الأحمر,سفاجا,
مينا فيل,MENAVILLE RESORT,البحر الأحمر,سفاجا,
لوتس باي,LOTUS BAY RESORT,البحر الأحمر,سفاجا,
إمبريال شمس,IMPERIAL SHAMS HOTEL,البحر الأحمر,سفاجا,
غطس سومة باى,DIVING SOMA BAY HOTEL,البحر الأحمر,سفاجا,
اميرة سفاجا,AMIRA SAFAGA HOTEL,البحر الأحمر,سفاجا,
جاز سوما بيتش,JAZZ SOMA BEACH,البحر الأحمر,سفاجا,
بيتش كلوب,BEACH CLUB HOTEL,البحر الأحمر,سفاجا,
سومة باي شيراتون,SOMA BAY RESORT-SHERATON,البحر الأحمر,سفاجا,
كاريبيان وورلد سومة باى,Caribbean World Soma Bay Resort,البحر الأحمر,سفاجا,
امارينا ابوسوما ريزورت واكوابارك,Amarina Abu Soma Resort & Aqua Park,البحر الأحمر,سفاجا,
خليج ابو سومة,ABU SOMA GULF RESORT ( Kempinski Hotel ),البحر الأحمر,سفاجا,
بالم رويال سوما باى,PALM ROYALE SOMA BAY,البحر الأحمر,سفاجا,
موفنبيك سومه باي,MOVENPICK SOMA BAY,البحر الأحمر,سفاجا,
ماجيك لايف,MAGIC LIFE RESORT,البحر الأحمر,سفاجا,
كلوب راس سومة -روبنسون راس سومة,CLUB RAS SOMA HOTEL,البحر الأحمر,سفاجا,
كاسكيدز,CASCADES HOTEL,البحر الأحمر,سفاجا,
بانانا بيتش,BANANA BEACH VILLAGE,جنوب سيناء,رأس سدر,
باراديز,PARADISE HOTEL,جنوب سيناء,رأس سدر,
مون بيتش,MOON BEACH RESORT,جنوب سيناء,رأس سدر,
رويال بيتش,ROYAL BEACH RESORT,جنوب سيناء,رأس سدر,
ريفيرا بيتش 2,RIVIERA BEACH II,جنوب سيناء,رأس سدر,
هوليداى فانتازيا,HOLIDAY FANTASIA HOTEL,جنوب سيناء,رأس سدر,
جرين سدر,GREEN SUDR HOTEL,جنوب سيناء,رأس سدر,
قرية شاطئ الأميرة,AMIRA BEACH VILLAGE,جنوب سيناء,رأس سدر,
سندريلا بيتش كلوب,CINDERELLA BEACH HOTEL,البحر الأحمر,القصير,
المانجروف,MANGROVE VILLAGE,البحر الأحمر,القصير,
المخيم الفضى,SILVER CAMP HOTEL,البحر الأحمر,القصير,
روتس كامب,ROOTS CAMP,البحر الأحمر,القصير,
فنادير بيتش,FANADIR BEACH HOTEL,البحر الأحمر,القصير,
يوتوبيا بيتش كلوب,UTOPIA BEACH CLUB,البحر الأحمر,القصير,
شونى باي ريزورت,SHONI BAY RESORT,البحر الأحمر,مرسي علم,
روهانو,ROHANOU HOTEL,البحر الأحمر,القصير,
