Restaurant_Name,City,District,Address,Phones
Abou Hamza Restaurant,Alexandria.,El Bitash,35 Alex Matrouh Rd.,
Abou Hatem Restaurant,Giza.,Ard El Lewaa,50 Atta Abdel Rahim St.,
Abou Hussein El Sharqawy,Cairo.,El Marg,209 Moassaset El Zakah St.,
Abou Islam Restaurant,Kaliobeya.,Shoubra El Khaymah,"Block 7, El Kahrabaa Bldgs., ",
Abou Karam,Cairo.,El Sayeda Zeinab,14 El Koumy St. Off El Sad St.,
Abou Khadiga Restaurant,Hurghada.,Sekala,Sheraton Rd. El Sakala Sq.,
Abou Khaled Restaurant,Giza.,Faisal,"30 El Shaheed Fares St., Intersection Of El Tayseer St.",
Abou Khashaba Restaurant,Cairo.,El Darb El Ahmar,El Darb El Ahmar St.,
Abou Laila Restaurant,El Dakahleya.,As Sinbillawain,"Omran Tower, ",
Abou Lasaa,Cairo.,Nasr City,Youssef Abbas St.,
Abou Lashin Restaurant,Giza.,Agouza,Ibrahim Khater St.,
Abou Maher Restaurant,Cairo.,Dar El Salam,El Nahda St.,
Abou Mazen El Soury,Giza.,El Haram,"116 Z El Tharwa El Maadaneya St., Hadayek El Ahram",
Abou Mazen Restaurant,Giza.,El Warak,"15 El Tal St., Warraq El Arab",
Abou Moaz Restaurant,Cairo.,Maadi,"98 Emtedad El Amal Bldgs., , New Maadi",
Abou Mohamed El Sharqawy Restaurant,Kaliobeya.,Shoubra El Khaymah,21 15th Of May St.,
Abou Mohamed Restaurant,Giza.,Auseem,50 El Horreya St.,
Abou Mouza,Giza.,Giza,23 Khofo St.,
Abou Namar Restaurant,Giza.,Imbaba,"2 Farag Tours St., El Monira El Gharbeya",
Abou Nassar,Giza.,El Hawamdeya,85 El Gomhoureya St.,
Abou Rabea,Alexandria.,Victoria,44 El Galaa St.,
Abou Rabea Restaurants,Cairo.,Dar El Salam,7 Mogamaa El Madares St.,
Abou Rabie Restaurants,"Alexandria.
See All Branches
❯",Bolkeley,202 Ahmed Shawky St.,
Abou Roshdy,Cairo.,Maadi,"6 Roshdy St. Off Rd. 9, Hadayek El Maadi",
Abou Said El Sharqawy,Cairo.,Hadayek El Kobba,8 Sekket El Waily St.,
Abou Salah B.B.Q,Cairo.,Heliopolis,"8 Tohotmos Kamel St. Off Adly Kafafy St., Saint Fatima",
Abou Salah El Kababgy,Giza.,El Badrashin,Abbas Anany St.,
Abou Samah,Cairo.,El Salam City,25 El Abd St.,
Abou Samra,Cairo.,Abbasseya,"Emtedad Ramsis St., Abbaseya Sq., El Moltaqa Towers, Tower 5A",
Abou Sayed Restaurant,Alexandria.,Bolkeley,500 El Horreya Rd.,
Abou Seada El Sharqawy Restaurant,Cairo.,Ain Shams,1 Mansheyet El Tahrir St.,
Abou Seif Restaurant,Giza.,6th Of October,"., El Motamayez District",
Abou Selim Macaroni,Cairo.,Mokattam,"6 El Nasr Bldgs., Rd. 9",
Abou Senna Restaurant,Cairo.,Hadayek El Kobba,"7 El Ahram Bldgs., Medhat Nour St.",
Abou Serea,Cairo.,Bab El Shaareya,221 El Guish St.,
Abou Shaara Restaurant,Alexandria.,Bahary,2 El Masaged Sq.,
Abou Shafiq Restaurant,Cairo.,Shoubra,6 Youssef Airoud St.,
Abou Shakra,"Cairo.
See All Branches
❯",New Cairo,"82 El Tesaeen El Ganouby St., South Investors",
Abou Shams Restaurant,Cairo.,Gesr El Suez,3 Mohamed Owaida St. El Togareyeen Division,
Abou Shanab Restaurant,Hurghada.,El Kawther,Sheraton Rd.,
Abou Shoura Restaurants,"Cairo.
See All Branches
❯",Helwan,"Autostrad Rd., Arab Abou Saed",
Abou Tagen,Cairo.,Al Rehab City,65 .,
Abou Taha Oriental,Cairo.,Al Rehab City,Commercial Market,
Abou Taha Restaurants,Cairo. See All Branches❯,New cairo,"Taha Hussein St., 4th District, 5th Compound",
Abou Tamer Restaurant,Giza.,Imbaba,1 El Adwy St. Off El Mashroua St.,
Abou Teraika Restaurant,Giza.,Boulak el dakrour,81 El Tahrir St.,
Abou Wahed El Tayeb,Cairo.,Shoubra,83 el warsha st.,
Abou Walid Restaurant,Kafr el sheikh.,Downtown,Salah Salem St.,
Abou Yasmeen Restaurant,Cairo.,Dar el salam,4 Faheem Abdel Hady St.,
Abou Youssef,Kaliobeya.,El qanatir el khayriyah,el qanater el khaireya rd.,
Abou Youssef Restaurant,Cairo.,Hadayek el kobba,"34 Youssef Atteya St., El Waily El Kabir",
Abou Youssef Restaurant,Cairo.,Ain shams el sharkeya,10 El Wehda El Arabeya St. Off Gesr El Suez St.,
Abu Khaled Restaurant,Giza. See All Branches❯,6th of october,", Central Spine, El Hosary Sq., 7th District",
Abu Khater Restaurants,Cairo.,El matareya,"1 El Galaa St., Off Omar El Mokhtar St., El Saada City",
Adam Kebda & Burger Restaurant,Cairo.,New cairo,", El Banafseg 9, El Banafseg Services Center 2, Banafseg",
Adaweya Restaurant,Giza.,Boulak el dakrour,24 Darwish El Baragily St.,
Adaweya Restaurant,Giza.,Auseem,"25 El Madina El Monawara St., Bashtil",
Aden Cairo Restaurant,Cairo.,Nasr city,"52 Abdel Hakim El Refaey St., Off Makram Ebaid St., 8th District",
Adham Restaurant,Giza.,6th of october,"., El Motamayez District",
Adwaa El Madina Restaurant,Cairo.,Ain shams,13 Mohamed Omar St.,
Adwaa El Madina Restaurant,Cairo.,Ghamrah,267 Ramsis St.,
Afandina,El gharbeya.,Kutour,El Guish St.,
Agena & El Zaeem B.B.Q,Alexandria. See All Branches❯,El mamorah elbalad,15 Abou Qir Rd.,
Agiba Restaurant,Cairo.,El manyal,113 Manial St.,
Ahbab El Hussein,Cairo.,El gamaleya,Amir El Geyoush St.,
Ahbab El Hussein Restaurant,Cairo.,Ezbet el nakhl,4 Masged El Rahman St.,
Ahbab El Sayeda Restaurant,Cairo.,Ain shams el gharbeya,52 El Mashroua St.,
Ahbab El Sayeda Restaurant,Cairo.,Helwan,"18 El Shaheed Hamid St., Arab El Walda",
Ahbab El Sayeda Restaurant,Cairo.,El bassateen,107 El Basateen El Omoumy St.,
Ahbab El Sayeda Restaurant,Cairo.,Hadayek helwan,Gamal Abdel Nasser St.,
Ahfad El Khedaiwy,Giza.,El haram,5 Aioub St.,
Ahl Al Karam,Giza.,6th of october,", Beverly Hills, Inside West Square Mall, El Sheikh Zayed",
Ahmed El Badry Fish,Cairo.,Ain shams el sharkeya,"Block 58 Abdel Halim Mahmoud St., Off Ahmed Orabi St., Arab Gesr El Suez",
Ahmed El Sharqawy,Cairo.,El sayeda zeinab,17 Tantawy Gawhar St.,
Ahmed El Sharqawy Restaurant,Cairo.,El amireya,142 Teraet El Gendy St.,
Ahmed El Sharqawy Restaurant,Cairo.,Heliopolis,6 Talkha St.,
Ahmed Restaurant,Kaliobeya.,Qalyub,9 Galal St.,
Ahmed Sultan Restaurant,Cairo.,Maadi,"El Khamseen St., El Ahlam Tower, Zahraa El Maadi",
Aish B Lahma Restaurant,Cairo.,Nasr city,"50 Ahmed El Zomor St., El Swesry B Project, 10th District",
Akalat Beity,Giza.,El warak,Abdel Moneim Riad St.,
Akawi,Cairo.,Heliopolis,"6 2nd Plot, Anqara St., Sheraton Bldgs.",
Akemi Egypt,Giza.,El haram,14 Abou El Houl El Seyahy St.,
Akl Baity Iskandarany,Alexandria.,Sidi beshr,", .",
Akl Beety,Cairo. See All Branches❯,Maadi,"53 Rd. 9, Hadayek El Maadi",
Akl Beety Restaurant,Cairo.,Nasr city,", Swiss District B, Bldg. 73, 10th District",
Akl Betna,Alexandria.,Miami,", .",
Akl Byty,Assyout.,Assyout,Freelance Business,
Akl El Hawanem Restaurant,Cairo.,Maadi,"1 Gupco Bldgs. Rd. 500, New Maadi",
Akl Ommi,Cairo.,Heliopolis,"88 Saqr Qoraish Bldgs., El Shaheed Sayed Zakareya St., Sheraton Bldgs.",
Aklet Setti Restaurant,Giza.,El haram,"Abou El Houl El Seyahy St., Mashaal",
Akltna,Cairo.,Nasr city,", .",
Akwa Restaurant,Cairo.,Nasr city,546 Atlas Bldgs. Ahmed El Zomor St.,
Al Aaelaat Restaurant,Cairo. See All Branches❯,El manyal,"14 Samir El Sayed Ahmed St., El Pasha Sq.",
Al Agare Cafe & Restaurant,Cairo.,Downtown,Ramsis Sq.,
Al Amoudi Restaurant,Giza.,Mohandeseen,"59 El Madina El Monawara St., Intersection Of El Kawthar St.",
Al El Beit Restaurant,Aswan.,Downtown,Abou El Rish,
Al Harraq Restaurant,Giza.,Mohandeseen,"24 26th Of July St., Lebnon Sq.",
Al Hassan & Hussin,Alexandria. See All Branches❯,Sporting,3 El Delta St.,
Al Hayat Coffee Shop & Restaurant,El menia.,Samalut,.,
Al Hosiny Restaurant,Sharm el sheikh.,El souk el kadim,"Plot 94, ",
Al Madena Restaurant,Cairo.,El sayeda zeinab,"42 Khairat St., Lazoughly Sq.",
Al Mahrousa Restaurant,Giza.,6th of october,,
Al Moamen Restaurant,Cairo. See All Branches❯,Bab el khalk,53 El Qalaa St.,
Al Moudira Restaurant,Luxor.,Luxor,"Western Bank, LUXOR",
Al Nafoura Restaurant,Giza.,Cairo alex desert rd.,"Km 4.5, ",
Al Nasya,Giza.,Mohandeseen,71 Gamaet El Dewal El Arabeya St.,
Al Shabrawy,El fayoum.,Downtown,El Sawaqy Sq.,
Al Sharkawy Liver And Brain,Cairo. See All Branches❯,Maadi,"33 Rd. 151, Corniche El Maadi",
Al Tekaia Restaurant,Cairo.,Nasr city,"El Werash St.Saqr Qoraish, 10th District",
Al Top,Alexandria.,El asafra kebly,1 Rd. 12 Off Rd. 45,
Al Zainy Al Shebany Restaurant,Giza.,Dokki,49 Dokki St.,
Ala Ad El Eid,Cairo.,Helwan,", .",
Ala Baraket Allah,Cairo.,El marg,"18 El Madina El Monawara St., Kafr El Shorafa",
Ala Baraket Allah Restaurant,Cairo.,Maadi,"El Mohandes Mohamed Reda St., Hadayek El Maadi",
Ala Baraket Allah Restaurant,Giza.,Imbaba,"2 Galal Hawash St., El Monira El Gharbeya",
Ala Baraket Allah Restaurant,Giza.,Auseem,"2 Omar Ibn El Khattab St., Bashtil",
Ala Baraket Ellah Restaurant,Cairo.,Ain shams,24 Adam St.,
Ala Baraket Ellah Restaurant,Giza.,6th of october,"., 7th District",
Ala El Fahm Restaurant,Damietta.,Kafr saad,Gamasa Kafr El Westani,
Ala Kefak,Cairo.,Nasr city,4 El Riada St. Off El Batrawy St.,
Ala Kefak Restaurant,Cairo.,El sabteya,19 Hossam El Din St. Ramsis Sq.,
Ala Kefak Restaurant,El gharbeya.,El mahalla el kobra,El Bahr St.,
Alam El Kawarea Restaurant,Kaliobeya.,Tukh,24 El Mahkama St.,
Alex Kebda,Giza.,Faisal,"28 El Taawon St., Off Faisal St., El Taawon",
Alexandria Restaurant,Giza.,Giza,4 Qorra Ibn Shoraik St.,
Alku5 Restaurant,Cairo. See All Branches❯,Downtown,"1 Sekket El Fadel St, Off Talaat Harb St.",
Almaz,Giza.,Mohandeseen,7 El Hegaz St. Off Gamaet El Dewal El Arabeya St.,
Aly Baraka Restaurant,Cairo.,Hadayek el kobba,4 Sekket El Waily St.,
Aly El Sharqawy Restaurant,Cairo. See All Branches❯,Abbasseya,"129, Abbaseya Sq.",
Aly El Sharqawy Restaurant,Cairo.,Gesr el suez,"92 A Gesr El Suez St., El Alf Maskan",
Aly Sons B.B.Q,Giza.,El moneeb,"1 Youssef Soliman St., Off El Magzar El Aly St.",
Am Ahmed Restaurant,El gharbeya.,Tanta,"El Batrawishy St., Off El Nahhas St.",
Am Bahbah Restaurant,Cairo.,Nasr city,"Rehana Plaza Hotel Wall Ahmed El Zomor St., 10th District",
Ambassador Restaurant,Cairo.,Downtown,31 A 26th Of July St.,
Amici Restaurant,Cairo.,Shoubra,95 El Teraa El Boulaqeya St.,
Amigo Dahab Restaurant,Dahab.,Asla,Blue Hole Rd.,
Ammo Ashraf Restaurant,Giza.,6th of october,"., 7th District",
Amohom,Cairo.,Downtown,"42 Champillion St., Intersection Of Maarouf St.",
Amr El Prince Restaurant,Giza.,6th of october,"., 11th District",
Ana Misho,Alexandria. See All Branches❯,El ibrahimeya,92 Omar Lotfy St.,
Anakota Restaurant,Cairo.,Madinty,Talaat Mostafa Rd.,
Andalusia Restaurant,Cairo.,El manyal,70 Abdel Aziz Al Saoud St.,
Andrea,Cairo. See All Branches❯,Maadi,"Corniche El Nil, Corniche El Maadi",
Antar El Kababgy,Giza. See All Branches❯,Cairo alex desert rd.,Km 28,
Anwar El Hussein,Cairo.,El zawia el hamra,"37 Ahmed El Assal St., El Qosayareen",
Anwar El Hussein,Cairo.,Maadi,130 Saqr Qoraish Bldgs.,
Anwar El Hussein Restaurant,Cairo.,Misr el kadima,"17 El Emamain St., Ezbet Khairallah",
Anwar El Hussein Restaurant,Cairo.,El darrasa,El Mansoureya St.,
Anwar El Hussein Restaurant,Cairo.,Dar el salam,19 Abou Ashraf St.,
Anwar El Hussein Restaurant,Cairo.,El matareya,98 El Matarawy St.,
Anwar El Hussein Restaurant,Kaliobeya.,El Khosous,2 El Mazraah St.,
Aqua Inn Restaurant,Hurghada.,Dahar,6 El Corniche St.,
Arabesque,Marsa Matrouh.,Al Kasr District,"Agiba Rd., El Obayed Bay",
Arabiata,"Cairo.
See All Branches
❯",Nasr City,"Zaker Hussein St., Intersection Of El Tayaran St., 7th District",
Arafa Village,El Beheira.,Kafr El Dawar,"Km 25, Alex Cairo Agricultural Rd.",
Arzak,Cairo.,Mokattam,Rd. 9,
Arzak Al Qawther,Cairo.,Maadi,"80 A Misr Helwan Agriculture Rd., Hadayek El Maadi",
Arzaq,Cairo.,Heliopolis,"13 Somal St., El Korba",
Arzaq El Kawthar Restaurant,"Suez.
See All Branches
❯",Suez District,", Ahmed Helmy Badr Sq.",
Arzaq Restaurant,Giza.,El Moneeb,3 El Fakharany St.,
Asfour El Gana Restaurant,Giza.,El Ayat,33 Shokry El Kwatly St.,
Ashour B.b.q Restaurant,"Kaliobeya.
See All Branches
❯",Bahteem,Esco St.,
Assal Wa Tahina,"Giza.
See All Branches
❯",6th Of October,"26th Of July Spine, El Sheikh Zayed",
Ataam Atma Restaurant,Cairo.,Shoubra,155 Shoubra St.,
Atlantis Corners,Cairo.,El manyal,74 Abdel Aziz Al Saoud St.,
Atma,Cairo.,Madinty,", Services Zone B1",
Attia Egyption Street Food,Cairo.,Ramlet boulak,"2005 C Corniche El Nil, Nile City Towers, North Tower",
Auto Market Restaurant & Cafe,Giza.,Mohandeseen,11 B Gamaet El Dewal El Arabeya St.,
Awad Wich,El dakahleya.,Belqas,Abou Regaila St.,
Awlad El Am Restaurant,Giza.,Imbaba,El Basrawy St.,
Aziza,Cairo.,New cairo,"Plot A, El Tesaeen St., City Center, 5th Compound",
Azrou Restaurant & Cafe,Cairo.,New cairo,"Plot 99, El Bonouk St. Sector 1, 5th Compound",
Ba7a,Cairo. See All Branches❯,Nasr city,"2 A El Sharq Lel Taamin Bldgs. Dr. Mahmoud Ibrahim St., Off Abbas El Akkad St., 7th District",
Bab El Hadid,Cairo. See All Branches❯,Maadi,"Rd. 250, New Maadi",
Bab El Hara Restaurant,Damietta. See All Branches❯,Damietta,", Extension Of Sorour Sq.",
Bab El Shaareya,Cairo.,Ain shams,72 El Eshreen St.,
Bab Rezq,Cairo.,Nasr city,"12 Rabaa Investment Bldgs., El Nozha St., El Saah Sq.",
Baba Abdou Restaurant,Cairo.,Nasr city,"Ahmed El Zomor St., 10th District",
Baba Azoz,Giza.,Boulak el dakrour,1 El Tahrir St.,
Baba Sayed Restaurant,Cairo.,El nozha el gadida,7 Abou El Saoud St.,
Baba Semsem Restaurant,Cairo.,Maadi,8 Rd. 154,
Baci Restaurant & Cafe,Alexandria.,Sidi gaber,El Guish Rd.,
Baha Restaurant,Cairo. See All Branches❯,El sayeda zeinab,329 Port Said St.,
Bahareez,El fayoum.,Downtown,El Khalifa El Maamoun St. El Sawaqy Sq.,
Bahariz Bouha Restaurant,Kaliobeya.,El khosous,46 El Sarf El Sehhy St.,
Bahbah Restaurant,Giza.,6th of october,"1St Neighbourhood, Bldg. 57, 12th District",
Bahia Restaurant,El fayoum. See All Branches❯,El massalah,", El Masalla Sq., El Sharq Lel Taamin Bldg.",
Bain El Kasrain,Giza.,6th of october,"19 7Th Neighbourhood, 11th District",
Bait Darwish,Giza.,El haram,"8 Nasser El Thawra St. Off Haram St., El Mariouteya",
Bait El Kebda,Cairo.,Heliopolis,"8 Tohotmos Kamel St. Off Adly Kafafy St., Saint Fatima",
Bait El Sogouq & El Zalabya,Cairo.,Heliopolis,"3 Misr Lel Taamir Bldgs., Anqara St., Sheraton Bldgs.",
Baity,Cairo.,Nasr city,"41 Misr Lel Taamir Bldgs., Mostafa El Nahhas St., 8th District",
Bake My Day,Cairo. See All Branches❯,New cairo,"El Tesaeen El Shamaly St., 5th Compound",
Baladi Restaurant,Cairo.,Heliopolis,"21 Galal El Din El Desouqy St., Almaza",
Balady Restaurant,Giza.,Agouza,5 Mahmoud Sedqy St.,
Bambo Restaurant,Cairo.,El zaytoun,"32 Selim El Awal St., El Araby Bldg.",
Barakat Restaurant,Cairo.,Aghakhan,2 El Mathan St.,
Barari Restaurant,Giza.,6th of october,"Waslet Dahshour Rd., El Hezam El Akhdar, El Sheikh Zayed",
Batoot Marghly,El gharbeya. See All Branches❯,Tanta,"Anwar St., Off Kafr Essam St.",
Bayada Restaurant,Cairo.,Helwan,Extension Of Ragheb St.,
Bayoumi,Cairo.,Bab el louk,El Tahrir St.,
Bedouin King Chicken Restaurant,Dahab.,Masbat,"El Mashraba st., El Mashaya",
Beef Fi Regheef,Giza. See All Branches❯,Mohandeseen,3 Mekka St. Off El Thawra Sq.,
Beet Suliman,Giza.,6th Of October,", Beverly Hills, El Sheikh Zayed",
Beit Mariam Restaurant,Cairo.,Nasr City,"El Sheikh Kamal Khedr St., El Sefarat District",
Beitna Restaurant,Giza.,6th Of October,", Beverly Hills, El Sheikh Zayed",
Bel Hana Wel Reda,Giza.,6th Of October,", .",
Bel Hana Wel Shefaa Restaurant,Giza.,El Haram,Helal St.,
Belal El Sharqawy Restaurant,Cairo.,El Sayeda Zeinab,335 Port Said St.,
Bent El Balad Restaurant,Giza.,Faisal,4 Hosny Metwally St.,
Beto3 Kebda,Giza.,6th Of October,"El Wahat Rd., Dream Land",
Bibo’s Cafe,Giza.,6th Of October,"El Wahat Rd., Dream Land",
Bigga Restaurant,Cairo.,Abdin,"40 Mohamed Farid St., Intersection Of El Sheikh Rihan St.",
Bikia Eatery Restaurant,Giza.,6th Of October,"El Shabab St., El Sheikh Zayed",
Bistro Cafe,Alexandria.,Raml Station,6 Fouad St.,
Black Harka Restaurant,Cairo.,New Cairo,", Spine 79, 1st District Services Zone, 5th Compound",
Bludan Espresso,Cairo.,Maadi,"Nerco Bldgs., 3rd Sector, Degla",
Blue Lotus Restaurant,Giza.,Sakkara,"Saqqara Touristic Rd., Shoubramant",
Blue Palm Village,Cairo.,Heliopolis,"El Saaqah St., Off El Thawra St., Almaza",
Bondoqa,El Menia.,Ard Sultan,"Menia Sporting Club Wall, Taha Hussein St.",
Borg El Monofeya,El Monofeya.,Quwasnah,Cairo Alex Agricultural Rd.,
Boshka Restaurant,Cairo.,El Maasara,2 El Garnousy St.,
Boshret Khair Restaurant,Giza.,El Moneeb,"17 Mamdouh Tork St., Off El Fakharany St.",
Bouchee Restaurant,Alexandria.,Loran,436 El Guish Rd.,
Bqalet El Saada,Cairo. See All Branches❯,New cairo,"El Tesaeen St., 5th Compound",
Bram,Cairo.,Nasr city,Omar Ibn El Khattab St.,
Bram El Sultan Restaurant,Giza.,6th of october,"Central Spine, 4th Neighbourhood, 1st District",
Bram Restaurant,El gharbeya.,El mahalla el kobra,El Sabaa Banat St.,
Bread & Butter,El dakahleya.,El mansoura,"El Mohandes Ahmed El Husseiny Eid St., El Gamaa District",
Break Time,Cairo.,Nasr city,18 Mohamed Mostafa Hamam St.,
Bright Star Restaurant& Cafe,Giza.,6th of october,Gamal Abdel Nasser Spine,
Bucks Restaurant,Hurghada.,Sekala,Sheraton St.,
C Cafe,El sharkeya.,10th of ramadan,"9th Plot6th Neighbourhood, El Ordoneya",
C Omar Restaurant & Cafe,Cairo.,Heliopolis,"22 Ahmed Tayseer St., Intersection Of El Shaheed Abdel Wahab El Qady St., Ard El Golf",
Cabana Restaurant & Cafe,Cairo.,Heliopolis,"Omar Ibn El Khattab St., Off El Thawra St., Ard El Golf",
Cadenza Restaurant,El gharbeya.,Tanta,", Extension Of El Bahr St.",
Cairo,Cairo.,Downtown,3 Saray El Azbakeya St.,
Cairo International Scout Restaurant,Cairo.,Nasr city,"2 Youssef Abbas St., Off Salah Salem Rd.",
Cairo Kitchen,Cairo. See All Branches❯,Zamalek,"118 26th Of July St., Intersection Of El Aziz Othman St.",
Calamari & Braam,Cairo.,Heliopolis,206 El Hegaz St.,
Canary Express Cook,Cairo. See All Branches❯,Shoubra,16 Shoubra St.,
Caracon,Suez.,Suez district,Ahmed Shawky St.,
Carioka Restaurant,Cairo.,Maadi,71 Rd. 9,
Carter House Restaurant,Luxor.,Luxor,"Wadi El Melouk Rd., Western Bank, LUXOR",
Case 55 Restaurant & Cafe,Cairo.,Heliopolis,"Omar Ibn El Khattab St., Off El Thawra St., Ard El Golf",
Casper Restaurant,Cairo.,Nasr city,"2 B Dr. Mahmoud Ibrahim St., Off Abbas El Akkad St.",
Casserole Restaurant,Cairo. See All Branches❯,Heliopolis,"8 El Thawra St., El Korba",
Castello,Luxor.,Luxor,"El Rawda El Sharifa St., LUXOR",
Cavaiero Restaurant & Cafe,Giza. See All Branches❯,6th of october,"El Marwa St., Off Waslet Dahshour Rd., District 11, El Sheikh Zayed",
Chicken Crunchy,Giza.,Giza,"Block 135 Abdel Fattah Azzam St., Off El Bahr El Aazam St.",
Cibum Terrace,Sharm el sheikh.,Umm el sid hill,Nady El Riadat El Bahareya St.,
City Ras El Bar Restaurant,Cairo.,New cairo,", Rawdat El Azhar 2 Compound, North Investors",
Cloud Kitchen,Cairo.,Heliopolis,"7 El Nozha St., Ard El Golf",
Cloud Misr,Giza.,Mohandeseen,"59 El Qods El Sharif St., Lebanon Sq.",
Clove Restaurant,Cairo.,Maadi,"2 Palestine St., New Maadi",
Cook & Frozen,Cairo.,Mokattam,", .",
Cook Home,Giza.,El hawamdeya,Gamal Abdel Nasser St.,
Corombo,Giza.,Boulak el dakrour,5 El Tahrir St.,
Cow Candy Bram Restaurant & Cafe,Alexandria.,Cleopatra,"155 El Adly Plaza Towers, El Guish Rd.",
Crepo & Kebdaky,Cairo.,Heliopolis,"17 El Somal St., El Korba",
